ticker,company_name,cik,year,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag
INTC,Intel Corp,50863,2020,70848000000.0,21053000000.0,136524000000.0,,69653000000.0,,29003000000.0,23316000000.0,43737000000.0,4063000000.0,sec_company_facts,ok
INTC,Intel Corp,50863,2021,71965000000.0,21048000000.0,153091000000.0,,74563000000.0,,36401000000.0,22035000000.0,42140000000.0,4072000000.0,sec_company_facts,ok
INTC,Intel Corp,50863,2022,77867000000.0,20899000000.0,168406000000.0,,95391000000.0,,38101000000.0,23678000000.0,43612000000.0,4137000000.0,sec_company_facts,ok
INTC,Intel Corp,50863,2023,79024000000.0,19868000000.0,182103000000.0,,101423000000.0,,38107000000.0,19456000000.0,43815000000.0,4228000000.0,sec_company_facts,ok
INTC,Intel Corp,50863,2024,63054000000.0,8014000000.0,191572000000.0,,105590000000.0,,49266000000.0,2334000000.0,26866000000.0,4330000000.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2017,49161000000.0,8981000000.0,121652000000.0,58067000000.0,63586000000.0,6726000000.0,28642000000.0,10770000000.0,29681000000.0,4951955851.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2018,49247000000.0,10739000000.0,129818000000.0,63681000000.0,66137000000.0,6877000000.0,30472000000.0,12660000000.0,30960000000.0,4571334136.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2019,48005000000.0,9609000000.0,108784000000.0,65580000000.0,43204000000.0,8934000000.0,25569000000.0,11973000000.0,30224000000.0,4245290230.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2020,49330000000.0,110000000.0,97793000000.0,64222000000.0,66137000000.0,11750000000.0,20473000000.0,12309000000.0,30606000000.0,4233425297.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2021,51904000000.0,11621000000.0,94853000000.0,56933000000.0,43204000000.0,11809000000.0,14583000000.0,14219000000.0,32666000000.0,4217735917.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2022,49301000000.0,11214000000.0,97497000000.0,56222000000.0,33571000000.0,9175000000.0,11526000000.0,13620000000.0,31683000000.0,4108844167.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2023,49818000000.0,10591000000.0,94002000000.0,54229000000.0,37920000000.0,7079000000.0,8915000000.0,12833000000.0,31894000000.0,4054857783.0,sec_company_facts,ok
CSCO,Cisco Systems Inc,858877,2024,51557000000.0,11812000000.0,101852000000.0,57499000000.0,41275000000.0,10123000000.0,8391000000.0,13969000000.0,32248000000.0,3990734794.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2017,16192000000.0,2899000000.0,27540000000.0,14612000000.0,12080000000.0,4140000000.0,9154000000.0,2998000000.0,5215000000.0,1153255224.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2018,12399000000.0,-276000000.0,35336000000.0,15845000000.0,18621000000.0,5109000000.0,9872000000.0,168000000.0,2505000000.0,1134255375.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2019,20322000000.0,5089000000.0,43376000000.0,10112000000.0,32294000000.0,6506000000.0,3777000000.0,5868000000.0,8436000000.0,1107050823.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2020,30391000000.0,14135000000.0,48887000000.0,12019000000.0,35881000000.0,7152000000.0,6157000000.0,14994000000.0,17891000000.0,1113221799.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2021,23406000000.0,6313000000.0,53678000000.0,14682000000.0,38996000000.0,7624000000.0,5968000000.0,7376000000.0,10702000000.0,1118623738.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2022,21435000000.0,2687000000.0,58849000000.0,14916000000.0,38996000000.0,7763000000.0,6020000000.0,3003000000.0,6552000000.0,1087168584.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2023,27705000000.0,5861000000.0,66283000000.0,16376000000.0,38996000000.0,8262000000.0,12049000000.0,6283000000.0,10423000000.0,1098034471.0,sec_company_facts,ok
MU,Micron Technology Inc,723125,2024,30758000000.0,8687000000.0,64254000000.0,20134000000.0,43933000000.0,8577000000.0,11343000000.0,9702000000.0,13898000000.0,1108742682.0,sec_company_facts,ok
AMAT,Applied Materials Inc,6951,2017,9659000000.0,1377000000.0,14570000000.0,7353000000.0,7868000000.0,3002000000.0,3125000000.0,1693000000.0,3952000000.0,1056340714.0,sec_company_facts,ok
AMAT,Applied Materials Inc,6951,2018,10825000000.0,1721000000.0,19419000000.0,10070000000.0,7613000000.0,4797000000.0,5304000000.0,2152000000.0,4511000000.0,958606093.0,sec_company_facts,ok
AMAT,Applied Materials Inc,6951,2019,14698000000.0,3519000000.0,17633000000.0,10788000000.0,7413000000.0,3440000000.0,5309000000.0,3936000000.0,6612000000.0,915304098.0,sec_company_facts,ok
